family,k_c,log2_M_c,log2_M_c_minus_log2_p,distribution,precision_bits,use_offset,n_samples,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution,elapsed_seconds
wide20,13,260.0013193839023,4.001319383902285,product_modp,8,True,1000000,12837798082511,25150,0.02515,624218,0,"{""-1"": 25150, ""0"": 974850}",5.612
wide20,13,260.0013193839023,4.001319383902285,product_modp,10,False,1000000,12838928424554,93193,0.093193,906807,0,"{""-1"": 93193, ""0"": 906807}",5.604
wide20,13,260.0013193839023,4.001319383902285,product_modp,10,True,1000000,12840349271491,6371,0.006371,905819,0,"{""-1"": 6371, ""0"": 993629}",5.519
wide20,13,260.0013193839023,4.001319383902285,product_modp,12,False,1000000,12839381229320,23076,0.023076,976924,0,"{""-1"": 23076, ""0"": 976924}",5.895
wide20,13,260.0013193839023,4.001319383902285,product_modp,12,True,1000000,12840968289242,1550,0.00155,976320,0,"{""-1"": 1550, ""0"": 998450}",5.84
wide20,13,260.0013193839023,4.001319383902285,product_modp,14,False,1000000,12839025857030,5738,0.005738,994262,0,"{""-1"": 5738, ""0"": 994262}",6.039
wide20,13,260.0013193839023,4.001319383902285,product_modp,14,True,1000000,12838970308959,366,0.000366,994109,0,"{""-1"": 366, ""0"": 999634}",5.851
wide20,13,260.0013193839023,4.001319383902285,product_modp,16,False,1000000,12837867786916,1419,0.001419,998581,0,"{""-1"": 1419, ""0"": 998581}",6.146
wide20,13,260.0013193839023,4.001319383902285,product_modp,16,True,1000000,12841468374902,101,0.000101,998516,0,"{""-1"": 101, ""0"": 999899}",5.193
wide20,14,280.00157114453486,24.001571144534864,product_modMc,6,False,1000000,12841919652149,101903,0.101903,781161,0,"{""-1"": 101903, ""0"": 898097}",5.007
wide20,14,280.00157114453486,24.001571144534864,product_modMc,6,True,1000000,12839044234759,14500,0.0145,781326,0,"{""-1"": 3440, ""0"": 985500, ""1"": 11060}",5.293
wide20,14,280.00157114453486,24.001571144534864,product_modMc,8,False,1000000,12837941712716,25669,0.025669,945169,0,"{""-1"": 25669, ""0"": 974331}",5.053
wide20,14,280.00157114453486,24.001571144534864,product_modMc,8,True,1000000,12841810736158,3717,0.003717,945206,0,"{""-1"": 874, ""0"": 996283, ""1"": 2843}",4.875
wide20,14,280.00157114453486,24.001571144534864,product_modMc,10,False,1000000,12839903155409,6356,0.006356,986140,0,"{""-1"": 6356, ""0"": 993644}",5.102
wide20,14,280.00157114453486,24.001571144534864,product_modMc,10,True,1000000,12839678276003,888,0.000888,986297,0,"{""-1"": 192, ""0"": 999112, ""1"": 696}",4.64
wide20,14,280.00157114453486,24.001571144534864,product_modMc,12,False,1000000,12838710233832,1543,0.001543,996619,0,"{""-1"": 1543, ""0"": 998457}",4.884
wide20,14,280.00157114453486,24.001571144534864,product_modMc,12,True,1000000,12838050705985,227,0.000227,996606,0,"{""-1"": 40, ""0"": 999773, ""1"": 187}",4.796
wide20,14,280.00157114453486,24.001571144534864,product_modMc,14,False,1000000,12840402978925,375,0.000375,999150,0,"{""-1"": 375, ""0"": 999625}",4.835
wide20,14,280.00157114453486,24.001571144534864,product_modMc,14,True,1000000,12837762442559,52,5.2e-05,999123,0,"{""-1"": 7, ""0"": 999948, ""1"": 45}",4.845
wide20,14,280.00157114453486,24.001571144534864,product_modMc,16,False,1000000,12840955149956,107,0.000107,999768,0,"{""-1"": 107, ""0"": 999893}",4.88
wide20,14,280.00157114453486,24.001571144534864,product_modMc,16,True,1000000,12838684747229,9,9e-06,999800,0,"{""-1"": 4, ""0"": 999991, ""1"": 5}",4.829
wide20,14,280.00157114453486,24.001571144534864,product_modp,6,False,1000000,12837918343230,1000000,1.0,0,0,"{""-1"": 1000000}",4.05
wide20,14,280.00157114453486,24.001571144534864,product_modp,6,True,1000000,12839339190167,317404,0.317404,0,0,"{""-1"": 317404, ""0"": 682596}",4.067
wide20,14,280.00157114453486,24.001571144534864,product_modp,8,False,1000000,12840349562453,1000000,1.0,0,0,"{""-1"": 1000000}",4.053
wide20,14,280.00157114453486,24.001571144534864,product_modp,8,True,1000000,12840226905518,317598,0.317598,0,0,"{""-1"": 317598, ""0"": 682402}",4.076
wide20,14,280.00157114453486,24.001571144534864,product_modp,10,False,1000000,12838015775706,1000000,1.0,0,0,"{""-1"": 1000000}",4.142
wide20,14,280.00157114453486,24.001571144534864,product_modp,10,True,1000000,12837691792179,316817,0.316817,0,0,"{""-1"": 316817, ""0"": 683183}",4.145
wide20,14,280.00157114453486,24.001571144534864,product_modp,12,False,1000000,12838970337777,1000000,1.0,0,0,"{""-1"": 1000000}",4.458
wide20,14,280.00157114453486,24.001571144534864,product_modp,12,True,1000000,12840424739146,317488,0.317488,0,0,"{""-1"": 317488, ""0"": 682512}",4.569
wide20,14,280.00157114453486,24.001571144534864,product_modp,14,False,1000000,12838515861366,1000000,1.0,0,0,"{""-1"": 1000000}",4.496
wide20,14,280.00157114453486,24.001571144534864,product_modp,14,True,1000000,12838359649999,317112,0.317112,0,0,"{""-1"": 317112, ""0"": 682888}",4.455
wide20,14,280.00157114453486,24.001571144534864,product_modp,16,False,1000000,12840261758460,1000000,1.0,0,0,"{""-1"": 1000000}",4.49
wide20,14,280.00157114453486,24.001571144534864,product_modp,16,True,1000000,12841715897685,317424,0.317424,0,0,"{""-1"": 317424, ""0"": 682576}",4.494
