family,k_c,log2_M_c,log2_M_c_minus_log2_p,precision_bits,use_offset,n_samples,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution,elapsed_seconds
wide20,16,320.00215445068966,64.00215445068966,16,True,1000000,826999174442,17,1.7e-05,999753,0,"{""-1"": 3, ""0"": 999983, ""1"": 14}",7.065
wide20,17,340.0024612351181,84.00246123511812,6,False,1000000,825811454821,125199,0.125199,734530,0,"{""-1"": 125199, ""0"": 874801}",7.278
wide20,17,340.0024612351181,84.00246123511812,6,True,1000000,828436867127,14442,0.014442,734073,0,"{""-1"": 7148, ""0"": 985558, ""1"": 7294}",6.972
wide20,17,340.0024612351181,84.00246123511812,8,False,1000000,826091519587,31164,0.031164,933981,0,"{""-1"": 31164, ""0"": 968836}",6.773
wide20,17,340.0024612351181,84.00246123511812,8,True,1000000,828621759932,3672,0.003672,933338,0,"{""-1"": 1870, ""0"": 996328, ""1"": 1802}",6.928
wide20,17,340.0024612351181,84.00246123511812,10,False,1000000,825369919233,7899,0.007899,983382,0,"{""-1"": 7899, ""0"": 992101}",7.165
wide20,17,340.0024612351181,84.00246123511812,10,True,1000000,827999263699,939,0.000939,983327,0,"{""-1"": 455, ""0"": 999061, ""1"": 484}",7.25
wide20,17,340.0024612351181,84.00246123511812,12,False,1000000,825654178303,1958,0.001958,995883,0,"{""-1"": 1958, ""0"": 998042}",7.325
wide20,17,340.0024612351181,84.00246123511812,12,True,1000000,828180224344,240,0.00024,995873,0,"{""-1"": 121, ""0"": 999760, ""1"": 119}",7.522
wide20,17,340.0024612351181,84.00246123511812,14,False,1000000,824930218653,477,0.000477,998986,0,"{""-1"": 477, ""0"": 999523}",7.513
wide20,17,340.0024612351181,84.00246123511812,14,True,1000000,825410244463,57,5.7e-05,998968,0,"{""-1"": 24, ""0"": 999943, ""1"": 33}",7.524
wide20,17,340.0024612351181,84.00246123511812,16,False,1000000,827262857250,110,0.00011,999763,0,"{""-1"": 110, ""0"": 999890}",7.627
wide20,17,340.0024612351181,84.00246123511812,16,True,1000000,827740523764,13,1.3e-05,999741,0,"{""-1"": 7, ""0"": 999987, ""1"": 6}",7.767
