family,k_c,log2_M_c,log2_M_c_minus_log2_p,target_frac,pool_size,rejection_attempts,rejection_rate,precision_bits,use_offset,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,6,True,191032289789859,2733,0.2733,0,0,"{""-1"": 2733, ""0"": 7267}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,8,False,191032289789859,10000,1.0,0,0,"{""-1"": 10000}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,8,True,191032289789859,1640,0.164,0,0,"{""-1"": 1640, ""0"": 8360}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,10,False,191032289789859,9987,0.9987,13,0,"{""-1"": 9987, ""0"": 13}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,10,True,191032289789859,484,0.0484,13,0,"{""-1"": 484, ""0"": 9516}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,12,False,191032289789859,3656,0.3656,6344,0,"{""-1"": 3656, ""0"": 6344}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,12,True,191032289789859,118,0.0118,6344,0,"{""-1"": 118, ""0"": 9882}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,14,False,191032289789859,906,0.0906,9094,0,"{""-1"": 906, ""0"": 9094}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,14,True,191032289789859,26,0.0026,9094,0,"{""-1"": 26, ""0"": 9974}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,16,False,191032289789859,216,0.0216,9784,0,"{""-1"": 216, ""0"": 9784}"
standard17,16,256.0186123491192,0.01861234911922338,0.005,10000,1988024,0.005030120360719991,16,True,191032289789859,3,0.0003,9784,0,"{""-1"": 3, ""0"": 9997}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,6,False,191032408795266,10000,1.0,0,0,"{""-1"": 10000}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,6,True,191032408795266,2373,0.2373,0,0,"{""-1"": 2373, ""0"": 7627}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,8,False,191032408795266,10000,1.0,0,0,"{""-1"": 10000}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,8,True,191032408795266,877,0.0877,0,0,"{""-1"": 877, ""0"": 9123}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,10,False,191032408795266,7267,0.7267,2733,0,"{""-1"": 7267, ""0"": 2733}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,10,True,191032408795266,235,0.0235,2733,0,"{""-1"": 235, ""0"": 9765}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,12,False,191032408795266,1815,0.1815,8185,0,"{""-1"": 1815, ""0"": 8185}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,12,True,191032408795266,65,0.0065,8185,0,"{""-1"": 65, ""0"": 9935}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,14,False,191032408795266,449,0.0449,9551,0,"{""-1"": 449, ""0"": 9551}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,14,True,191032408795266,14,0.0014,9551,0,"{""-1"": 14, ""0"": 9986}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,16,False,191032408795266,119,0.0119,9881,0,"{""-1"": 119, ""0"": 9881}"
standard17,16,256.0186123491192,0.01861234911922338,0.01,10000,997801,0.010022038462579212,16,True,191032408795266,2,0.0002,9881,0,"{""-1"": 2, ""0"": 9998}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,6,False,191034797824059,10000,1.0,0,0,"{""-1"": 10000}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,6,True,191034797824059,787,0.0787,0,0,"{""-1"": 787, ""0"": 9213}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,8,False,191034797824059,5892,0.5892,4108,0,"{""-1"": 5892, ""0"": 4108}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,8,True,191034797824059,188,0.0188,4108,0,"{""-1"": 188, ""0"": 9812}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,10,False,191034797824059,1463,0.1463,8537,0,"{""-1"": 1463, ""0"": 8537}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,10,True,191034797824059,46,0.0046,8537,0,"{""-1"": 46, ""0"": 9954}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,12,False,191034797824059,369,0.0369,9631,0,"{""-1"": 369, ""0"": 9631}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,12,True,191034797824059,19,0.0019,9631,0,"{""-1"": 19, ""0"": 9981}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,14,False,191034797824059,88,0.0088,9912,0,"{""-1"": 88, ""0"": 9912}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,14,True,191034797824059,5,0.0005,9912,0,"{""-1"": 5, ""0"": 9995}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,16,False,191034797824059,23,0.0023,9977,0,"{""-1"": 23, ""0"": 9977}"
standard17,16,256.0186123491192,0.01861234911922338,0.05,10000,202598,0.049358828813709905,16,True,191034797824059,3,0.0003,9977,0,"{""-1"": 3, ""0"": 9997}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,6,False,191032851192894,10000,1.0,0,0,"{""-1"": 10000}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,6,True,191032851192894,4846,0.4846,0,0,"{""-1"": 4846, ""0"": 5154}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,8,False,191032851192894,10000,1.0,0,0,"{""-1"": 10000}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,8,True,191032851192894,4544,0.4544,0,0,"{""-1"": 4544, ""0"": 5456}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,10,False,191032851192894,10000,1.0,0,0,"{""-1"": 10000}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,10,True,191032851192894,3231,0.3231,0,0,"{""-1"": 3231, ""0"": 6769}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,12,False,191032851192894,10000,1.0,0,0,"{""-1"": 10000}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,12,True,191032851192894,1139,0.1139,0,0,"{""-1"": 1139, ""0"": 8861}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,14,False,191032851192894,4910,0.491,5090,0,"{""-1"": 4910, ""0"": 5090}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,14,True,191032851192894,253,0.0253,5090,0,"{""-1"": 253, ""0"": 9747}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,16,False,191032851192894,1207,0.1207,8793,0,"{""-1"": 1207, ""0"": 8793}"
standard17,17,272.0212735604559,16.02127356045588,0.001,10000,10089462,0.0009911331248385691,16,True,191032851192894,80,0.008,8793,0,"{""-1"": 80, ""0"": 9920}"
standard17,17,272.0212735604559,16.02127356045588,0.005,10000,1984193,0.005039832314699225,6,False,191033430110804,10000,1.0,0,0,"{""-1"": 10000}"
